代码,名称,所属行业
CAR,安飞士,租赁服务
CARA,Cara Therapeutics,生物技术
CARR,开利全球,建筑产品及设备
CARS,Cars.com,汽车和卡车经销权
CART,Instacart(Maplebear),互联网零售
CAT,卡特彼勒,农用及重型工程机械
CATO,加图商场,服装零售
CAVA,CAVA Group,餐厅
CB,安达保险,保险 - 财产和伤亡
CBL,CBL & Associates Properties,房地产投资信托 - 零售
CBOE,芝加哥期权交易所,财务数据与证券交易所
CBRE,世邦魏理仕,房地产服务
CBRL,CB乡村店,餐厅
CBUS,Cibus Inc,生物技术
CCAP,Crescent Capital BDC,资产管理
CCCS,CCC Intelligent Solutions Holdings,软件 - 基础架构
CCI,冠城国际,房地产投资信托 - 专业
CCJ,Cameco,铀
CCK,皇冠控股,包装与容器
CCL,嘉年华邮轮,旅游服务
CCU,智利CCU啤酒,饮料 - 啤酒
CDE,科尔黛伦矿业,黄金
CDLX,Cardlytics,广告代理
CDNA,CareDx,诊断与研究
CDNS,铿腾电子,软件 - 应用
CDW,CDW Corp,信息技术服务
CE,塞拉尼斯,化工品
CECO,CECO环保,污染与处理控制
CEG,Constellation Energy,公用事业 - 可再生
CEIX,CONSOL Energy,动力煤
CELH,Celsius Holdings,饮料 - 非酒精饮料
CENX,世纪铝业,铝
CET,Central Securities Corp.,资产管理
CETU,Cetus Capital Acquisition Corp,空壳公司
CEVA,CEVA Inc,半导体
CFG,Citizens Financial,银行 - 地区性
CFLT,Confluent,软件 - 基础架构
CG,凯雷,资产管理
CGEN,Compugen医疗,生物技术
CGNX,康耐视,科技仪器
CHCT,Community Healthcare Trust,房地产投资信托 - 医疗保健设施
CHD,丘奇&德怀特,家用和个人产品
CHDN,Churchill Downs,博彩
CHEF,The Chefs' Warehouse,食物分配
CHH,精选国际酒店,住宿
CHK,切萨皮克能源,石油和天然气勘探及生产
CHRS,Coherus BioSciences,生物技术
CHRW,罗宾逊物流,综合货运与物流
CHTR,特许通讯,电信服务
CHUY,Chuy's Holdings,餐厅
CI,信诺,医疗计划
CIEN,Ciena,通讯设备
CIGI,高力国际集团,房地产服务
CIVI,Civitas Resources,石油和天然气勘探及生产
CL,高露洁,家用和个人产品
CLB,Core Laboratories,石油和天然气设备与服务
CLCO,Cool Co,石油和天然气中游
CLDT,Chatham Lodging信托,房地产投资信托 - 酒店和汽车旅馆
CLF,克利夫兰克里夫,钢
CLPR,Clipper Realty,房地产投资信托 - 住宅
CLVT,Clarivate,信息技术服务
CLX,高乐氏,家用和个人产品
