代码,名称,所属行业
WPM,Wheaton Precious Metals,黄金
WRB,WR柏克利,保险 - 财产和伤亡
WRBY,Warby Parker,医疗设备和用品
WRK,WestRock,包装与容器
WRLD,环球验收,信贷服务
WSC,WillScot,租赁服务
WSFS,WSFS金融,银行 - 地区性
WSM,Williams-Sonoma,专业零售
WSO,华斯科,产业分布
WSR,Whitestone REIT,房地产投资信托 - 零售
WTW,韦莱韬悦,保险经纪人
WU,西联汇款,信贷服务
WVE,Wave Life Sciences,生物技术
WWW,沃尔弗林集团,鞋类及配件
WY,惠好,房地产投资信托 - 专业
WYNN,永利度假村,渡假村和赌场
X,美国钢铁,钢
XEL,埃克西尔能源,公用事业 - 受监管电力
XERS,Xeris制药,生物技术
XMTR,Xometry,特种工业机械
XOM,埃克森美孚,石油和天然气综合
XPEL,XPEL Inc,汽车零件
XRAY,登士柏,医疗设备和用品
YETI,YETI Holdings,休闲
YOU,Clear Secure,软件 - 应用
YUM,百胜餐饮,餐厅
YUMC,百胜中国,餐厅
YY,欢聚,互联网内容与信息
Z,Zillow-C,互联网内容与信息
ZBH,齐默巴奥米特控股,医疗设备
ZBRA,斑马技术,通讯设备
ZDGE,Zedge,互联网内容与信息
ZI,ZoomInfo,软件 - 应用
ZIMV,ZimVie,医疗设备
ZLAB,再鼎医药,生物技术
ZM,Zoom视频通讯,软件 - 应用
ZTS,Zoetis,药品制造商 - 专业和通用
ZUMZ,Zumiez,服装零售
ZUO,祖睿,软件 - 基础架构
